entity_key,route_id,direction_id,stop_id,stop_name,time_type,on_time_pct,sample_size
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000043002_pm_rush,9011005020100000,0,9022005000043002,Berga Söderleden,pm_rush,76.7,970
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000048001_am_rush,9011005020100000,0,9022005000048001,Skäggetorp centrum,am_rush,34.68,1410
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000048001_day,9011005020100000,0,9022005000048001,Skäggetorp centrum,day,25.62,2900
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000048001_night,9011005020100000,0,9022005000048001,Skäggetorp centrum,night,32.23,2336
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000048001_pm_rush,9011005020100000,0,9022005000048001,Skäggetorp centrum,pm_rush,44.96,972
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000048001_weekend,9011005020100000,0,9022005000048001,Skäggetorp centrum,weekend,31.9,1856
performance_9011005020100000_direction_id_stop_id_time_type_0_9022005000050003_pm_rush,9011005020100000,0,9022005000050003,Linköpings resecentrum,pm_rush,76.21,971
performance_9011005020100000_direction_id_stop_id_time_type_1_9022005000043001_pm_rush,9011005020100000,1,9022005000043001,Berga Söderleden,pm_rush,75.46,970
performance_9011005020100000_direction_id_stop_id_time_type_1_9022005000044001_am_rush,9011005020100000,1,9022005000044001,Hässlegatan,am_rush,36.12,1567
performance_9011005020100000_direction_id_stop_id_time_type_1_9022005000044001_day,9011005020100000,1,9022005000044001,Hässlegatan,day,26.18,2899
performance_9011005020100000_direction_id_stop_id_time_type_1_9022005000044001_night,9011005020100000,1,9022005000044001,Hässlegatan,night,41.13,2417
performance_9011005020100000_direction_id_stop_id_time_type_1_9022005000044001_pm_rush,9011005020100000,1,9022005000044001,Hässlegatan,pm_rush,26.88,971
performance_9011005020100000_direction_id_stop_id_time_type_1_9022005000044001_weekend,9011005020100000,1,9022005000044001,Hässlegatan,weekend,39.57,1840
performance_9011005020200000_direction_id_stop_id_time_type_0_9022005000050006_am_rush,9011005020200000,0,9022005000050006,Linköpings resecentrum,am_rush,46.8,1171
performance_9011005020200000_direction_id_stop_id_time_type_0_9022005000050006_day,9011005020200000,0,9022005000050006,Linköpings resecentrum,day,33.89,1933
performance_9011005020200000_direction_id_stop_id_time_type_0_9022005000050006_night,9011005020200000,0,9022005000050006,Linköpings resecentrum,night,56.14,2018
performance_9011005020200000_direction_id_stop_id_time_type_0_9022005000050006_pm_rush,9011005020200000,0,9022005000050006,Linköpings resecentrum,pm_rush,37.9,810
performance_9011005020200000_direction_id_stop_id_time_type_0_9022005000050006_weekend,9011005020200000,0,9022005000050006,Linköpings resecentrum,weekend,38.88,1569
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005000469003_am_rush,9011005020200000,1,9022005000469003,Tegskiftesgatan,am_rush,36.83,1173
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005000469003_day,9011005020200000,1,9022005000469003,Tegskiftesgatan,day,28.79,1931
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005000469003_night,9011005020200000,1,9022005000469003,Tegskiftesgatan,night,38.1,1932
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005000469003_pm_rush,9011005020200000,1,9022005000469003,Tegskiftesgatan,pm_rush,48.89,810
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005000469003_weekend,9011005020200000,1,9022005000469003,Tegskiftesgatan,weekend,17.0,1518
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005001249001_am_rush,9011005020200000,1,9022005001249001,US Södra entrén,am_rush,76.73,1173
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005001249001_night,9011005020200000,1,9022005001249001,US Södra entrén,night,78.11,1932
performance_9011005020200000_direction_id_stop_id_time_type_1_9022005001249001_pm_rush,9011005020200000,1,9022005001249001,US Södra entrén,pm_rush,66.67,810
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000050005_am_rush,9011005020300000,0,9022005000050005,Linköpings resecentrum,am_rush,51.15,1562
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000050005_day,9011005020300000,0,9022005000050005,Linköpings resecentrum,day,58.07,2895
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000050005_night,9011005020300000,0,9022005000050005,Linköpings resecentrum,night,42.7,2241
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000050005_pm_rush,9011005020300000,0,9022005000050005,Linköpings resecentrum,pm_rush,50.1,970
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000050005_weekend,9011005020300000,0,9022005000050005,Linköpings resecentrum,weekend,57.22,1772
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000214001_pm_rush,9011005020300000,0,9022005000214001,Ryd centrum,pm_rush,78.76,970
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000215001_am_rush,9011005020300000,0,9022005000215001,Gamla Linköping,am_rush,72.13,1561
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000215001_pm_rush,9011005020300000,0,9022005000215001,Gamla Linköping,pm_rush,63.78,969
performance_9011005020300000_direction_id_stop_id_time_type_0_9022005000215001_weekend,9011005020300000,0,9022005000215001,Gamla Linköping,weekend,67.67,1769
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000214002_pm_rush,9011005020300000,1,9022005000214002,Ryd centrum,pm_rush,57.78,971
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000214002_weekend,9011005020300000,1,9022005000214002,Ryd centrum,weekend,74.97,1786
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000215002_pm_rush,9011005020300000,1,9022005000215002,Gamla Linköping,pm_rush,68.8,971
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000219001_am_rush,9011005020300000,1,9022005000219001,Rydsvägens ändhållplats,am_rush,39.49,1175
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000219001_day,9011005020300000,1,9022005000219001,Rydsvägens ändhållplats,day,46.79,2898
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000219001_night,9011005020300000,1,9022005000219001,Rydsvägens ändhållplats,night,49.89,2179
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000219001_pm_rush,9011005020300000,1,9022005000219001,Rydsvägens ändhållplats,pm_rush,47.06,971
performance_9011005020300000_direction_id_stop_id_time_type_1_9022005000219001_weekend,9011005020300000,1,9022005000219001,Rydsvägens ändhållplats,weekend,44.76,1785
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005000050006_am_rush,9011005020400000,0,9022005000050006,Linköpings resecentrum,am_rush,39.23,1170
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005000050006_day,9011005020400000,0,9022005000050006,Linköpings resecentrum,day,28.31,1932
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005000050006_night,9011005020400000,0,9022005000050006,Linköpings resecentrum,night,46.61,2096
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005000050006_pm_rush,9011005020400000,0,9022005000050006,Linköpings resecentrum,pm_rush,41.48,810
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005000050006_weekend,9011005020400000,0,9022005000050006,Linköpings resecentrum,weekend,29.55,1570
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005001249002_night,9011005020400000,0,9022005001249002,US Södra entrén,night,79.82,2096
performance_9011005020400000_direction_id_stop_id_time_type_0_9022005001249002_pm_rush,9011005020400000,0,9022005001249002,US Södra entrén,pm_rush,75.06,810
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000213002_am_rush,9011005020400000,1,9022005000213002,Isberget,am_rush,62.37,1095
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000213002_day,9011005020400000,1,9022005000213002,Isberget,day,66.75,2012
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000213002_night,9011005020400000,1,9022005000213002,Isberget,night,65.24,1939
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000213002_pm_rush,9011005020400000,1,9022005000213002,Isberget,pm_rush,44.94,810
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000213002_weekend,9011005020400000,1,9022005000213002,Isberget,weekend,75.74,1554
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000223002_am_rush,9011005020400000,1,9022005000223002,Landbogatan,am_rush,59.09,1095
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000223002_day,9011005020400000,1,9022005000223002,Landbogatan,day,55.72,2012
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000223002_night,9011005020400000,1,9022005000223002,Landbogatan,night,57.45,1939
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000223002_pm_rush,9011005020400000,1,9022005000223002,Landbogatan,pm_rush,47.9,810
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005000223002_weekend,9011005020400000,1,9022005000223002,Landbogatan,weekend,49.49,1554
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005001249001_am_rush,9011005020400000,1,9022005001249001,US Södra entrén,am_rush,64.66,1095
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005001249001_night,9011005020400000,1,9022005001249001,US Södra entrén,night,75.86,1939
performance_9011005020400000_direction_id_stop_id_time_type_1_9022005001249001_pm_rush,9011005020400000,1,9022005001249001,US Södra entrén,pm_rush,66.54,810
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000048001_am_rush,9011005020500000,0,9022005000048001,Skäggetorp centrum,am_rush,44.12,1403
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000048001_day,9011005020500000,0,9022005000048001,Skäggetorp centrum,day,29.54,2905
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000048001_night,9011005020500000,0,9022005000048001,Skäggetorp centrum,night,38.33,2416
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000048001_pm_rush,9011005020500000,0,9022005000048001,Skäggetorp centrum,pm_rush,40.27,971
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000048001_weekend,9011005020500000,0,9022005000048001,Skäggetorp centrum,weekend,30.97,1792
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000050004_pm_rush,9011005020500000,0,9022005000050004,Linköpings resecentrum,pm_rush,66.91,970
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000429001_am_rush,9011005020500000,0,9022005000429001,IKEA,am_rush,71.56,1403
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000429001_day,9011005020500000,0,9022005000429001,IKEA,day,78.51,2904
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005000429001_pm_rush,9011005020500000,0,9022005000429001,IKEA,pm_rush,54.38,971
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005001241001_am_rush,9011005020500000,0,9022005001241001,Sörgårdsgatan,am_rush,67.78,1403
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005001241001_day,9011005020500000,0,9022005001241001,Sörgårdsgatan,day,68.12,2905
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005001241001_night,9011005020500000,0,9022005001241001,Sörgårdsgatan,night,74.01,2416
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005001241001_pm_rush,9011005020500000,0,9022005001241001,Sörgårdsgatan,pm_rush,51.8,971
performance_9011005020500000_direction_id_stop_id_time_type_0_9022005001241001_weekend,9011005020500000,0,9022005001241001,Sörgårdsgatan,weekend,71.82,1792
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000050010_pm_rush,9011005020500000,1,9022005000050010,Linköpings resecentrum,pm_rush,73.76,968
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000054001_am_rush,9011005020500000,1,9022005000054001,Ekholmens centrum,am_rush,65.34,1405
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000054001_day,9011005020500000,1,9022005000054001,Ekholmens centrum,day,67.21,2906
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000054001_night,9011005020500000,1,9022005000054001,Ekholmens centrum,night,72.44,2242
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000054001_pm_rush,9011005020500000,1,9022005000054001,Ekholmens centrum,pm_rush,59.3,973
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000054001_weekend,9011005020500000,1,9022005000054001,Ekholmens centrum,weekend,62.55,1864
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000419002_am_rush,9011005020500000,1,9022005000419002,Räknestickan,am_rush,34.66,1405
performance_9011005020500000_direction_id_stop_id_time_type_1_9022005000419002_day,9011005020500000,1,9022005000419002,Räknestickan,day,27.36,2906
